"DAMAGE:0","DAMAGE:1","DAMAGE:2","sigma:0","sigma:1","sigma:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.0012099,0.00077293,0,293.47,747.65,81.044,1,0.22362,0.5,0.22446,0
0.0012103,0.00077555,0,287.76,734.01,82.048,1,0.22462,0.5,0.22546,0
0.0012107,0.00077813,0,278.9,712.83,83.608,1,0.22562,0.5,0.22646,0
0.0012112,0.0007807,0,271.92,696.16,84.837,1,0.22662,0.5,0.22746,0
0.0012116,0.00078322,0,271.92,696.54,84.977,1,0.22762,0.5,0.22846,0
0.001212,0.00078583,0,271.94,705.43,88.28,1,0.22861,0.5,0.22946,0
0.0012124,0.00078845,0,271.97,714.32,91.583,1,0.22961,0.5,0.23045,0
0.0012128,0.00079106,0,272,723.21,94.886,1,0.23061,0.5,0.23145,0
0.0012133,0.00079368,0,272.02,732.1,98.189,1,0.23161,0.5,0.23245,0
0.0012137,0.00079628,0,268.39,730.46,101.69,1,0.23261,0.5,0.23345,0
0.0012141,0.00079887,0,260.15,715.16,105.27,1,0.23361,0.5,0.23445,0
0.0012145,0.00080148,0,251.38,696.69,108.28,1,0.2346,0.5,0.23545,0
0.001215,0.00080405,0,245.61,684.55,110.25,1,0.2356,0.5,0.23644,0
0.0012154,0.00080657,0,246.58,686.3,109,1,0.2366,0.5,0.23744,0
0.0012159,0.0008091,0,248.12,689.08,107.01,1,0.2376,0.5,0.23844,0
0.0012164,0.00081164,0,249.67,691.87,105.02,1,0.2386,0.5,0.23944,0
0.0012169,0.00081417,0,251.21,694.65,103.03,1,0.2396,0.5,0.24044,0
0.0012173,0.00081673,0,253.3,701.5,100.98,1,0.24059,0.5,0.24144,0
0.0012178,0.00081929,0,248.19,694.96,102.39,1,0.24159,0.5,0.24243,0
0.0012183,0.00082181,0,238.62,675.81,105.66,1,0.24259,0.5,0.24343,0
0.0012187,0.00082431,0,229.09,658.75,109.89,1,0.24359,0.5,0.24443,0
0.0012192,0.0008267,0,231.66,668.87,108.85,1,0.24459,0.5,0.24543,0
0.0012197,0.00082911,0,234.56,677.97,107.62,1,0.24559,0.5,0.24643,0
0.0012201,0.00083161,0,234.56,677.97,107.62,1,0.24658,0.5,0.24743,0
0.0012206,0.0008341,0,234.56,677.97,107.62,1,0.24758,0.5,0.24842,0
0.0012211,0.0008366,0,234.56,677.97,107.62,1,0.24858,0.5,0.24942,0
0.0012215,0.0008391,0,234.56,677.97,107.62,1,0.24958,0.5,0.25042,0
0.001222,0.00084151,0,225.12,659.74,111.02,1,0.25058,0.5,0.25142,0
0.0012225,0.00084392,0,215.67,641.46,114.42,1,0.25158,0.5,0.25242,0
0.001223,0.00084632,0,206.88,624.49,117.59,1,0.25257,0.5,0.25342,0
0.0012235,0.0008487,0,206.78,632.76,118.98,1,0.25357,0.5,0.25441,0
0.001224,0.00085109,0,206.66,642.16,120.57,1,0.25457,0.5,0.25541,0
0.0012244,0.00085349,0,206.54,651.55,122.16,1,0.25557,0.5,0.25641,0
0.0012249,0.0008559,0,206.45,658.86,123.39,1,0.25657,0.5,0.25741,0
0.0012254,0.00085836,0,206.45,658.86,123.39,1,0.25757,0.5,0.25841,0
0.0012258,0.00086077,0,201.06,647.91,125.12,1,0.25856,0.5,0.25941,0
0.0012263,0.00086313,0,190.39,626.25,128.53,1,0.25956,0.5,0.2604,0
0.0012268,0.00086548,0,179.72,604.59,131.94,1,0.26056,0.5,0.2614,0
0.0012273,0.00086777,0,175.34,595.7,133.35,1,0.26156,0.5,0.2624,0
0.0012278,0.00087002,0,175.34,595.7,133.35,1,0.26256,0.5,0.2634,0
0.0012283,0.00087228,0,175.34,595.7,133.35,1,0.26356,0.5,0.2644,0
0.0012288,0.00087454,0,175.26,596.31,133.51,1,0.26455,0.5,0.2654,0
0.0012292,0.00087691,0,173.93,606.59,136.28,1,0.26555,0.5,0.26639,0
0.0012297,0.00087928,0,171.85,613.77,137.29,1,0.26655,0.5,0.26739,0
0.0012301,0.00088164,0,169.1,618.12,136.67,1,0.26755,0.5,0.26839,0
0.0012306,0.00088401,0,165.75,620.33,136.34,1,0.26855,0.5,0.26939,0
0.001231,0.00088637,0,155.79,599.06,139.12,1,0.26955,0.5,0.27039,0
0.0012315,0.00088865,0,145.86,590.41,144.7,1,0.27054,0.5,0.27139,0
0.001232,0.00089088,0,142.78,597.15,147.21,1,0.27154,0.5,0.27238,0
0.0012324,0.00089319,0,142.65,599.62,145.93,1,0.27254,0.5,0.27338,0
0.0012329,0.00089549,0,142.53,602.01,144.71,1,0.27354,0.5,0.27438,0
0.0012334,0.00089784,0,142.53,602.01,144.71,1,0.27454,0.5,0.27538,0
0.0012338,0.00090018,0,142.53,602.01,144.71,1,0.27554,0.5,0.27638,0
0.0012343,0.00090249,0,139.56,595.17,144.24,1,0.27653,0.5,0.27738,0
0.0012348,0.00090474,0,131.63,576.93,143.01,1,0.27753,0.5,0.27837,0
0.0012352,0.000907,0,123.71,558.7,141.77,1,0.27853,0.5,0.27937,0
0.0012357,0.00090921,0,119.43,548.84,141.1,1,0.27953,0.5,0.28037,0
0.0012362,0.00091136,0,119.43,548.84,141.1,1,0.28053,0.5,0.28137,0
0.0012366,0.00091353,0,119.12,549.53,141.52,1,0.28153,0.5,0.28237,0
0.001237,0.00091578,0,115.77,557.09,146.04,1,0.28252,0.5,0.28336,0
0.0012375,0.00091803,0,112.43,564.65,150.57,1,0.28352,0.5,0.28436,0
0.0012379,0.00092025,0,106.16,569.04,152.81,1,0.28452,0.5,0.28536,0
0.0012383,0.00092246,0,99.302,572.8,154.61,1,0.28552,0.5,0.28636,0
0.0012387,0.00092469,0,92.338,562.47,155.74,1,0.28652,0.5,0.28736,0
0.0012391,0.00092693,0,85.324,545.76,156.58,1,0.28752,0.5,0.28836,0
0.0012395,0.00092915,0,84.452,544.09,155.06,1,0.28851,0.5,0.28935,0
0.0012399,0.00093135,0,84.991,545.88,153.01,1,0.28951,0.5,0.29035,0
0.0012402,0.00093356,0,85.53,547.66,150.95,1,0.29051,0.5,0.29135,0
0.0012406,0.00093576,0,86.069,549.45,148.9,1,0.29151,0.5,0.29235,0
0.001241,0.00093796,0,86.608,551.23,146.85,1,0.29251,0.5,0.29335,0
0.0012414,0.00094016,0,81.358,542.99,148.8,1,0.29351,0.5,0.29435,0
0.0012418,0.00094236,0,64.246,514.83,158.87,1,0.2945,0.5,0.29534,0
0.0012421,0.00094474,0,54.369,513.24,160.91,1,0.2955,0.5,0.29634,0
0.0012425,0.00094681,0,49.694,507.37,156.58,1,0.2965,0.5,0.29734,0
0.0012429,0.00094879,0,45.134,503.06,151.77,1,0.2975,0.5,0.29834,0
0.0012433,0.00095079,0,39.676,499.85,149.58,1,0.2985,0.5,0.29934,0
0.0012436,0.00095295,0,37.078,502.46,153.72,1,0.2995,0.5,0.30034,0
0.0012439,0.00095512,0,34.479,505.08,157.86,1,0.30049,0.5,0.30133,0
0.0012442,0.00095729,0,31.881,507.7,162,1,0.30149,0.5,0.30233,0
0.0012445,0.00095945,0,29.282,510.31,166.14,1,0.30249,0.5,0.30333,0
0.0012448,0.00096162,0,26.683,512.93,170.28,1,0.30349,0.5,0.30433,0
